grape,colour,known_also_as
PINOT GRIGIO G.,,"RULANDER, PINOT GRIS, PINOT, GRAUER BURGUNDER, GRAUBURGUNDER"
PINOT NERO,N,"BLAU BURGUNDER ; SPATBURGUNDER, BLAUER SPATBURGUNDER, PINOT NOIR, PINOT"
PLASSA,N,
POLLERA NERA,N,
PORTOGHESE,N,"BLAUER PORTUGIESER, PORTUGIESER"
PRIMITIVO,N,ZINFANDEL
GLERA,B,SERPRINO 
GLERA B-,,
PRUGNOLO GENTILE,N,
PRUNESTA,N,
RABOSO PIAVE,N,FRIULARO 
RABOSO VERONESE,N,
REFOSCO DAL PEDUNCOLO ROSSO,N,"REFOSCO, MALVOISE"
REFOSCO NOSTRANO,N,"REFOSCO, REFOSCO GROSSO, REFOSCONE, MALVOISE"
RETAGLIADO BIANCO,B,
RIBUELE,B,"RIBOLLA GIALLA, RIBOLLA , REBULA"
RIESLING ITALICO,B,"WELSCHRIESLING, RIESLING"
RIESLING RENANO,B,"RHEINRIESLING, RIESLING"
ROLLO,B,
RONDINELLA,N,
ROSSESE,N,
ROSSIGNOLA,N,ROSSETTA
ROSSOLA NERA,N,ROSSOLA
ROUSSANE,B,
SAGRANTINO,N,
SANGIOVESE,N,"SANGIOVETO, (096) GRECHETTO ROSSO N."
S. GIUSEPPE NERO,N,
S. LUNARDO,B,
SAUVIGNON,B,SAUVIGNON BLANC
SCHIAVA GENTILE,N,"SCHIAVA, VERNATSCH, KLEINVERNATSCH, MITTERVERNATSCH"
SCHIAVA GRIGIA,N,"SCHIAVA, VERNATSCH, GRAUVERNATSCH "
SCHIAVA,N,(419) ERBANNO N.
SCIASCINOSO,N,
SEMIDANO,B,
SEMILLON,B,
SGAVETTA,N,
SUSUMANIELLO,N,SUSSUMARIELLO
SYLVANER VERDE,B,"GRUNER SYLVANER ; SILVANER , SYLVANER"
SYRAH,N,SHIRAZ
TEROLDEGO,N,
TERRANO,N,"CAGNINA, TERAN, LAMBRUSCO DAL PEDUNCOLO ROSSO, REFO?K"
TIMORASSO,B,
TOCAI FRIULANO,B,"FRIULANO, TAI, TUCHI'"
"TOCAI FRIULANO B,",,
TOCAI ROSSO,N,"(10) ALICANTE N., (51) CANNONAU N., CANNONAO , GARNACHA TINTA, GRANACCIA, GRENACHE, TAI ROSSO"
TORBATO,B,
TRAMINER AROMATICO Rs.,,GEWURZTRAMINER 
TREBBIANO DI SOAVE,B,"(254) VERDICCHIO BIANCO B., TURBIANA , TREBBIANO DI LUGANA"
"TREBBIANO DI SOAVE B,",,
TREBBIANO GIALLO,B,"ROSSETTO, TREBBIANO"
TREBBIANO MODENESE,B,
TREBBIANO ROMAGNOLO,B,
TREBBIANO SPOLETINO,B,
TREBBIANO TOSCANO,B,"(025) BIANCAME B., PROCANICO, UGNI BLANC "
TREVISANA NERA,N,
TURCA,N,(433) SERBINA N.
UVA DI TROIA,N,"SUMARELLO, SOMMARRELLO, NERO DI TROIA"
UVA RARA,N,
UVA TOSCA,N,
VELTLINER,B,GRUNER VELTLINER
VERDEA,B,COLOMBANA BIANCA
VERDECA,B,(179) PAMPANUTO B.
VERDELLO,B,"(254) VERDICCHIO BIANCO B., (297) VERDUSCHIA B."
VERDICCHIO BIANCO,B,"TREBBIANO DI LUGANA , (239) TREBBIANO DI SOAVE B., (253) VERDELLO B., (297) VERDUSCHIA, PEVERELLA , TREBBIANO VERDE"
VERDISO,B,
VERDUZZO FRIULANO,B,
VERDUZZO TREVIGIANO,B,
VERMENTINO,B,"(190) PIGATO B., (80) FAVORITA B."
VERMENTINO NERO,N,
VERNACCIA DI ORISTANO,B,
VERNACCIA DI S. GIMIGNANO,B,(024) BERVEDINO B.
VERNACCIA NERA,N,VERNACCIA
VESPAIOLA,B,VESPAIOLO
VESPOLINA,N,UGHETTA
VIEN DE NUS,N,
AGLIANICO DEL VULTURE,N,(002) AGLIANICO N.
ALBAROSSA,N,
BRIC,N,
BUSSANELLO,B,
CHASSELAS DORATO,B,
CORNAREA,N,
COVE',B,
FERTILIA,N,
FLAVIS,B,
FUBIANO,B,
INCROCIO BIANCO FEDIT 51 C.S.G.,B,(460) Dorona B.
INVERNENGA,B,
ITALICA,B,
MALVASIA DI CANDIA AROMATICA,B,
S. MARTINO,N,
MOSCATO DI TERRACINA,B,"MOSCATELLO, MOSCATELLONE, MUSCAT, MUSKATELLER"
NEBBIERA,N,
NIGRA,N,
PASSAU,N,
PIGNOLO,N,
PRODEST,N,
ROSSARA,N,
S. MICHELE,N,
SCHIAVA GROSSA,N,"EDELVERNATSCH, GROSSEVERNATSCH, SCHIAVA, VERNATSCH"
SCHIOPPETTINO,N,
SIRIO,B,
SOPERGA,N,
TAZZELENGHE,N,
TSCHAGGELE,N,
VALENTINO,N,
VEGA,B,
VERDUSCHIA,B,"(253) VERDELLO B., (254) VERDICCHIO BIANCO B."
CHARDONNAY,B,
MANZONI BIANCO,B,INCROCIO MANZONI 6.0.13
PIGNOLETTO,B,"GRECHETTO GENTILE, ALIONZINA, 
GRECHETTO"
REBO,N,
MEUNIER,N,
WILDBACHER,N,
CORNALIN,,
KERNER,B,
MAYOLET,N,
MOSCATELLO SELVATICO,B,
MOSCATO DI SCANZO,N,
PELAVERGA,N,CARI
PETITE ARVINE,B,
PRIE BLANC,B,
PRIE BLANC B,,
PRIE ROUGE Rs.,,
RUCHE',N,
CANAIOLO ROSA Rs.,,
ALIONZA,B,
DINDARELLA,N,
FORSELLINA,N,
MALVASIA ROSA Rs.,,
MARSANNE,B,
VITOUSKA,B,"GARGANJA,     VITOVSKA"
FORGIARIN,N,
PICULIT-NERI,N,
SCIAGLIN,B,
